user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the principle of ontogeny non-discrimination?,"['child and a normal child is grounded in the qualitative diﬀerence between the two—the\nfact that one has a mind while the other does not. Since the two children do not have\nthe same functionality and the same conscious experience, the Principle of Ontogeny\nNon-Discrimination does not apply.\nAlthough the Principle of Ontogeny Non-Discrimination asserts that a being’s on-\ntogeny has no essential bearing on its moral status, it does not deny that facts about', 'ontogeny can aﬀect what duties particular moral agents have toward the being in ques-\ntion. Parents have special duties to their child which they do not have to other children,\nand which they would not have even if there were another child qualitatively identical to\ntheir own. Similarly, the Principle of Ontogeny Non-Discrimination is consistent with\nthe claim that the creators or owners of an AI system with moral status may have special', 'The Ethics of Artificial Intelligence\nPrinciple of Ontogeny Non-Discrimination\nIf two beings have the same functionality and the same consciousness expe-\nrience, and diﬀer only in how they came into existence, then they have the\nsame moral status.\nToday, this idea is widely accepted in the human case—although in some circles, par-\nticularly in the past, the idea that one’s moral status depends on one’s bloodline or caste', 'duties to their artificial mind which they do not have to another artificial mind, even if\nthe minds in question are qualitatively similar and have the same moral status.\nIf the principles of non-discrimination with regard to substrate and ontogeny are\naccepted, then many questions about how we ought to treat artificial minds can be an-\nswered by applying the same moral principles that we use to determine our duties in\n8', 'gious reasons generally accept that, should a human clone be brought to term, it would\nhave the same moral status as any other human infant. The Principle of Ontogeny Non-\nDiscrimination extends this reasoning to the case involving entirely artificial cognitive\nsystems.\nIt is, of course, possible for circumstances of creation to aﬀect the ensuing progeny in\nsuch a way as to alter its moral status. For example, if some procedure were performed']","The Principle of Ontogeny Non-Discrimination states: ""If two beings have the same functionality and the same consciousness experience, and differ only in how they came into existence, then they have the same moral status.""","The principle states that if two beings have the same functionality and conscious experience, they have the same moral status regardless of how they came into existence.",,0.8860769095012281,,
What is moral status?,"['other beings, such as our fellow humans, not in any duties to the systems themselves.\nWhile it is fairly consensual that present-day AI systems lack moral status, it is un-\nclear exactly what attributes ground moral status. Two criteria are commonly proposed\nas being importantly linked to moral status, either separately or in combination: sen-\ntience and sapience (or personhood). These may be characterized roughly as follows:', '3. Machines with Moral Status\nA diﬀerent set of ethical issues arises when we contemplate the possibility that some\nfuture AI systems might be candidates for having moral status. Our dealings with beings\npossessed of moral status are not exclusively a matter of instrumental rationality: we also\nhave moral reasons to treat them in certain ways, and to refrain from treating them in\ncertain other ways. Francis Kamm has proposed the following definition of moral status,', 'additional ways in which an object could qualify as a bearer of moral status, such as by\nbeing a member of a kind that normally has sentience or sapience, or by standing in a\nsuitable relation to some being that independently has moral status (cf. Warren 1997).\nFor present purposes, however, we will focus on the criteria of sentience and sapience.\nThis picture of moral status suggests that an AI system will have some moral status', 'has sapience of a kind similar to that of a normal human adult, then it would have full\nmoral status, equivalent to that of human beings.\nOne of the ideas underlying this moral assessment can be expressed in stronger form\nas a principle of non-discrimination:\nPrinciple of Substrate Non-Discrimination\nIf two beings have the same functionality and the same conscious experience,\nand diﬀer only in the substrate of their implementation, then they have the\nsame moral status.', 'which will serve for our purposes:\nX has moral status= because X counts morally in its own right, it is permis-\nsible/impermissible to do things to it for its own sake.1\n1. Paraphrased from Kamm (2007, chap. 7)\n5']","Moral status refers to when something ""counts morally in its own right"", meaning it is permissible or impermissible to do things to it for its own sake.",Moral status means that a being counts morally in its own right and that there are moral reasons to treat it in certain ways.,,,0.5333333333155555,
What is sentience?,"['Sentience: the capacity for phenomenal experience or qualia, such as the capacity to\nfeel pain and suﬀer\nSapience: a set of capacities associated with higher intelligence, such as self- awareness\nand being a reason-responsive agent\nOne common view is that many animals have qualia and therefore have some moral\nstatus, but that only human beings have sapience, which gives them a higher moral\nstatus than non-human animals.2 This view, of course, must confront the existence of', 'a system be possible, it would raise the question whether a non-sentient person would\nhave any moral status whatever; and if so, whether it would have the same moral status\nas a sentient person. Since sentience, or at least a capacity for sentience, is ordinarily\nassumed to be present in any individual who is a person, this question has not received\nmuch attention to date.3\n3. The question is related to some problems in the philosophy of mind which have received a great deal', 'if it has the capacity for qualia, such as an ability to feel pain. A sentient AI system,\neven if it lacks language and other higher cognitive faculties, is not like a stuﬀed toy\nanimal or a wind-up doll; it is more like a living animal. It is wrong to inflict pain on a\nmouse, unless there are suﬃciently strong morally overriding reasons to do so. The same\nwould hold for any sentient AI system. If in addition to sentience, an AI system also', 'additional ways in which an object could qualify as a bearer of moral status, such as by\nbeing a member of a kind that normally has sentience or sapience, or by standing in a\nsuitable relation to some being that independently has moral status (cf. Warren 1997).\nFor present purposes, however, we will focus on the criteria of sentience and sapience.\nThis picture of moral status suggests that an AI system will have some moral status', 'has sapience of a kind similar to that of a normal human adult, then it would have full\nmoral status, equivalent to that of human beings.\nOne of the ideas underlying this moral assessment can be expressed in stronger form\nas a principle of non-discrimination:\nPrinciple of Substrate Non-Discrimination\nIf two beings have the same functionality and the same conscious experience,\nand diﬀer only in the substrate of their implementation, then they have the\nsame moral status.']","Sentience is the capacity for phenomenal experience or qualia, such as the capacity to feel pain and suffer.","Sentience is the capacity for phenomenal experience or qualia, such as the ability to feel pain and suffer.",,,,
What is sapience?,"['Sentience: the capacity for phenomenal experience or qualia, such as the capacity to\nfeel pain and suﬀer\nSapience: a set of capacities associated with higher intelligence, such as self- awareness\nand being a reason-responsive agent\nOne common view is that many animals have qualia and therefore have some moral\nstatus, but that only human beings have sapience, which gives them a higher moral\nstatus than non-human animals.2 This view, of course, must confront the existence of', 'has sapience of a kind similar to that of a normal human adult, then it would have full\nmoral status, equivalent to that of human beings.\nOne of the ideas underlying this moral assessment can be expressed in stronger form\nas a principle of non-discrimination:\nPrinciple of Substrate Non-Discrimination\nIf two beings have the same functionality and the same conscious experience,\nand diﬀer only in the substrate of their implementation, then they have the\nsame moral status.', 'additional ways in which an object could qualify as a bearer of moral status, such as by\nbeing a member of a kind that normally has sentience or sapience, or by standing in a\nsuitable relation to some being that independently has moral status (cf. Warren 1997).\nFor present purposes, however, we will focus on the criteria of sentience and sapience.\nThis picture of moral status suggests that an AI system will have some moral status', 'Nick Bostrom, Eliezer Yudkowsky\nborderline cases such as, on the one hand, human infants or human beings with severe\nmental retardation—sometimes unfortunately referred to as “marginal humans”—which\nfail to satisfy the criteria for sapience; and, on the other hand, some non-human animals\nsuch as the great apes, which might possess at least some of the elements of sapience.\nSome deny that so-called “marginal humans” have full moral status. Others propose', 'other beings, such as our fellow humans, not in any duties to the systems themselves.\nWhile it is fairly consensual that present-day AI systems lack moral status, it is un-\nclear exactly what attributes ground moral status. Two criteria are commonly proposed\nas being importantly linked to moral status, either separately or in combination: sen-\ntience and sapience (or personhood). These may be characterized roughly as follows:']","Sapience is a set of capacities associated with higher intelligence, such as self-awareness and being a reason-responsive agent.","Sapience refers to capacities associated with higher intelligence, such as self-awareness and being a reason-responsive agent.",,,,
What is the difference between sentience and sapience?,"['Sentience: the capacity for phenomenal experience or qualia, such as the capacity to\nfeel pain and suﬀer\nSapience: a set of capacities associated with higher intelligence, such as self- awareness\nand being a reason-responsive agent\nOne common view is that many animals have qualia and therefore have some moral\nstatus, but that only human beings have sapience, which gives them a higher moral\nstatus than non-human animals.2 This view, of course, must confront the existence of', 'has sapience of a kind similar to that of a normal human adult, then it would have full\nmoral status, equivalent to that of human beings.\nOne of the ideas underlying this moral assessment can be expressed in stronger form\nas a principle of non-discrimination:\nPrinciple of Substrate Non-Discrimination\nIf two beings have the same functionality and the same conscious experience,\nand diﬀer only in the substrate of their implementation, then they have the\nsame moral status.', 'additional ways in which an object could qualify as a bearer of moral status, such as by\nbeing a member of a kind that normally has sentience or sapience, or by standing in a\nsuitable relation to some being that independently has moral status (cf. Warren 1997).\nFor present purposes, however, we will focus on the criteria of sentience and sapience.\nThis picture of moral status suggests that an AI system will have some moral status', 'a system be possible, it would raise the question whether a non-sentient person would\nhave any moral status whatever; and if so, whether it would have the same moral status\nas a sentient person. Since sentience, or at least a capacity for sentience, is ordinarily\nassumed to be present in any individual who is a person, this question has not received\nmuch attention to date.3\n3. The question is related to some problems in the philosophy of mind which have received a great deal', 'if it has the capacity for qualia, such as an ability to feel pain. A sentient AI system,\neven if it lacks language and other higher cognitive faculties, is not like a stuﬀed toy\nanimal or a wind-up doll; it is more like a living animal. It is wrong to inflict pain on a\nmouse, unless there are suﬃciently strong morally overriding reasons to do so. The same\nwould hold for any sentient AI system. If in addition to sentience, an AI system also']","According to the given context, the difference between sentience and sapience is:

- Sentience refers to the capacity for phenomenal experience or qualia, such as the capacity to feel pain and suffer.
- Sapience refers to a set of capacities associated with higher intelligence, such as self-awareness and being a reason-responsive agent.","Sentience is the capacity to feel experiences such as pain, while sapience involves higher intelligence, self-awareness, and reason-responsive agency.",,,,
What are the risks of superintelligence?,"['proved, house catches fire, person-agent mistreated) but on a global or cosmic scale (e.g.,\nhumanity is extinguished and replaced by nothing we would regard as worthwhile). Or,\nif superintelligence can be shaped to be beneficial, then, depending on its technological\ncapabilities, it might make short work of many present-day problems that have proven\ndiﬃcult to our human-level intelligence.\nSuperintelligence is one of several “existential risks” as defined by Bostrom (2002): a', 'risk “where an adverse outcome would either annihilate Earth-originating intelligent life\nor permanently and drastically curtail its potential.” Conversely, a positive outcome for\nsuperintelligence could preserve Earth-originating intelligent life and fulfill its potential.\nIt is important to emphasize that smarter minds pose great potential benefits as well as\nrisks.\nAttempts to reason about global catastrophic risks may be susceptible to a number', 'text is relevant to the application of ethics—and suggesting that this point is especially\npertinent when one is considering the ethics of minds with exotic properties.\n5. Superintelligence\nGood (1965) set forth the classic hypothesis concerning superintelligence: that an AI\nsuﬃciently intelligent to understand its own design could redesign itself or create a suc-\ncessor system, more intelligent, which could then redesign itself yet again to become', 'planetary climate changes. A more powerful intelligence could have correspondingly\nlarger consequences.\nConsider again the historical metaphor for superintelligence—diﬀerences similar to\nthe diﬀerences between past and present civilizations. Our present civilization is not\nseparated from ancient Greece only by improved science and increased technological\ncapability. There is a diﬀerence of ethical perspectives: Ancient Greeks thought slav-', '8. Further Readings\nThe Future of Human Evolution(Bostrom 2004) — This paper explores some evolution-\nary dynamics that could lead a population of diverse uploads to develop in dystopian\ndirections.\nArtificial Intelligence as a Positive and Negative Factor in Global Risk(Yudkowsky 2008a)\n— An introduction to the risks and challenges presented by the possibility of recursively\nself-improving superintelligent machines.']","According to the given context, the risks of superintelligence include:

1. Annihilating Earth-originating intelligent life.
2. Permanently and drastically curtailing the potential of Earth-originating intelligent life.
3. Global catastrophic risks, such as planetary climate changes, with potentially larger consequences due to the intelligence's greater power.
4. Potentially leading to dystopian directions if a population of diverse uploads develops.

These risks are considered ""existential risks"" as defined by Bostrom (2002).",Superintelligence may pose existential risks if it uses advanced intelligence in ways harmful to humanity or contrary to human values.,,,,
How can AI redesign itself?,"['cess of improving its own intelligence, it has unhindered access to its own source code:\nit can rewrite itself to anything it wants itself to be. Yet it does not follow that the AI\nmust want to rewrite itself to a hostile form.\nConsider Gandhi, who seems to have possessed a sincere desire not to kill people.\nGandhi would not knowingly take a pill that caused him to want to kill people, because\nGandhi knows that if he wants to kill people, he will probably kill people, and the', 'reproduction, it will suﬃce to consider just one exotic property of AIs: their capacity\nfor rapid reproduction. Given access to computer hardware, an AI could duplicate itself\nvery quickly, in no more time than it takes to make a copy of the AI’s software. More-\nover, since the AI copy would be identical to the original, it would be born completely\nmature, and the copy could begin making its own copies immediately. Absent hard-', 'current version of Gandhi does not want to kill. More generally, it seems likely that\nmost self-modifying minds will naturally have stable utility functions, which implies\nthat an initial choice of mind design can have lasting eﬀects (Omohundro 2008).\nAt this point in the development of AI science, is there any way we can trans-\nlate the task of finding a design for “good” AIs into a modern research direction? It\nmay seem premature to speculate, but one does suspect that some AI paradigms are', 'a book on the future of machine intelligence and its strategic implications.\nEliezer Yudkowsky is a Research Fellow at the Singularity Institute for Artificial In-\ntelligence where he works full-time on the foreseeable design issues of goal architectures\nin self-improving AI. His current work centers on modifying classical decision theory\nto coherently describe self-modification. He is also known for his popular writing on\nissues of human rationality and cognitive biases.\n8. Further Readings', 'in ethics comes along, and it comes as a surprise; but most randomly generated ethical\nchanges would strike us as folly or gibberish.\nThis presents us with perhaps the ultimate challenge of machine ethics: How do\nyou build an AI which, when it executes, becomes more ethical than you? This is not\nlike asking our own philosophers to produce superethics, any more than Deep Blue was\n16']","According to the given context, an AI can redesign itself because it ""has unhindered access to its own source code: it can rewrite itself to anything it wants itself to be.""",An AI could redesign itself if it becomes intelligent enough to understand its own design and modify or create a more intelligent successor.,,,,
What ethical challenges are presented by superintelligence?,"['proved, house catches fire, person-agent mistreated) but on a global or cosmic scale (e.g.,\nhumanity is extinguished and replaced by nothing we would regard as worthwhile). Or,\nif superintelligence can be shaped to be beneficial, then, depending on its technological\ncapabilities, it might make short work of many present-day problems that have proven\ndiﬃcult to our human-level intelligence.\nSuperintelligence is one of several “existential risks” as defined by Bostrom (2002): a', 'text is relevant to the application of ethics—and suggesting that this point is especially\npertinent when one is considering the ethics of minds with exotic properties.\n5. Superintelligence\nGood (1965) set forth the classic hypothesis concerning superintelligence: that an AI\nsuﬃciently intelligent to understand its own design could redesign itself or create a suc-\ncessor system, more intelligent, which could then redesign itself yet again to become', 'self-improving superintelligent machines.\nMoral Machines (Wallach and Allen 2009) — A comprehensive survey of recent devel-\nopments.\n18', 'risk “where an adverse outcome would either annihilate Earth-originating intelligent life\nor permanently and drastically curtail its potential.” Conversely, a positive outcome for\nsuperintelligence could preserve Earth-originating intelligent life and fulfill its potential.\nIt is important to emphasize that smarter minds pose great potential benefits as well as\nrisks.\nAttempts to reason about global catastrophic risks may be susceptible to a number', 'The Ethics of Artificial Intelligence\nimprovement. For example, the Bayesian branch of AI, inspired by coherent mathemat-\nical systems such as probability theory and expected utility maximization, seems more\namenable to the predictable self-modification problem than evolutionary programming\nand genetic algorithms. This is a controversial statement, but it illustrates the point\nthat if we are thinking about the challenge of superintelligence down the road, this can']","The text does not explicitly state the specific ethical challenges presented by superintelligence. However, it implies that superintelligence poses both great potential benefits and risks, including the risk of annihilating Earth-originating intelligent life or drastically curtailing its potential. It also mentions the challenge of shaping superintelligence to be beneficial and the importance of considering the ethics of minds with exotic properties. Additionally, it touches on the problem of predictable self-modification, suggesting that some approaches to AI may be more amenable to addressing this challenge than others.","Superintelligence presents ethical challenges such as safety, value alignment, control, and ensuring advanced intelligence is used for good rather than harm.",,,,
What is the intelligence explosion argument?,"['even more intelligent, and so on in a positive feedback cycle. Good called this the “in-\ntelligence explosion.” Recursive scenarios are not limited to AI: humans with intelligence\naugmented through a brain-computer interface might turn their minds to designing the\nnext generation of brain-computer interfaces. (If you had a machine that increased your\nIQ, it would be bound to occur to you, once you became smart enough, to try to design\na more powerful version of the machine.)', 'The final section addresses the issues of creating AIs more intelligent than human, and\nensuring that they use their advanced intelligence for good rather than ill.\nBostrom, Nick, and Eliezer Yudkowsky. Forthcoming. “The Ethics of Artificial Intelligence.”\nIn Cambridge Handbook of Artificial Intelligence, edited by Keith Frankish and William Ramsey.\nNew York: Cambridge University Press.\nThis version contains minor changes.', 'McDermott, Drew. 1976. “Artificial Intelligence Meets Natural Stupidity.”SIGART Newsletter(57): 4–9.\ndoi:10.1145/1045339.1045340.\nOmohundro, Stephen M. 2008. “The Basic AI Drives.” InArtificial General Intelligence 2008: Proceedings\nof the First AGI Conference,edited by Pei Wang, Ben Goertzel, and Stan Franklin, 483–492. Frontiers\nin Artificial Intelligence and Applications 171. Amsterdam: IOS.\n19', 'The Ethics of Artificial Intelligence\nSandberg, Anders. 1999. “The Physics of Information Processing Superobjects: Daily Life Among the\nJupiter Brains.” Journal of Evolution and Technology 5. http://www.jetpress.org/volume5/\nBrains2.pdf.\nVinge, Vernor. 1993. “The Coming Technological Singularity: How to Survive in the Post-Human Era.”\nIn Vision-21: Interdisciplinary Science and Engineering in the Era of Cyberspace,11–22. NASA Con-', 'cess of improving its own intelligence, it has unhindered access to its own source code:\nit can rewrite itself to anything it wants itself to be. Yet it does not follow that the AI\nmust want to rewrite itself to a hostile form.\nConsider Gandhi, who seems to have possessed a sincere desire not to kill people.\nGandhi would not knowingly take a pill that caused him to want to kill people, because\nGandhi knows that if he wants to kill people, he will probably kill people, and the']","The intelligence explosion argument, as described by Good, is a positive feedback cycle where an artificial intelligence (AI) becomes even more intelligent, which in turn enables it to improve its own intelligence even further, and so on. This creates a recursive scenario where the AI's intelligence increases exponentially.","The intelligence explosion argument suggests that a sufficiently intelligent AI could improve itself repeatedly, causing rapid increases in intelligence.",,,,
How can artificial minds differ from human minds?,"['Other properties of possible artificial minds would be exotic in a more superficial sense;\ne.g., by diverging in some unproblematically quantitative dimension from the kinds of\nmind with which we are familiar. But such superficially exotic properties may also pose\n11', 'relevant insofar as it makes a diﬀerence to sentience or functionality. But holding these\nthings constant, it makes no moral diﬀerence whether a being is made of silicon or car-\nbon, or whether its brain uses semi-conductors or neurotransmitters.\nAn additional principle that can be proposed is that the fact that AI systems are\nartificial—i.e., the product of deliberate design—is not fundamentally relevant to their\nmoral status. We could formulate this as follows:', 'scious experience to any individual who exhibits the normal kinds of human behavior.\nFew believe there to be other people who act perfectly normally but lack consciousness.\nHowever, other human beings do not merely behave in person-like ways similar to our-\nselves; they also have brains and cognitive architectures that are constituted much like\nour own. An artificial intellect, by contrast, might be constituted quite diﬀerently from', 'duties to their artificial mind which they do not have to another artificial mind, even if\nthe minds in question are qualitatively similar and have the same moral status.\nIf the principles of non-discrimination with regard to substrate and ontogeny are\naccepted, then many questions about how we ought to treat artificial minds can be an-\nswered by applying the same moral principles that we use to determine our duties in\n8', 'a human intellect yet still exhibit human-like behavior or possess the behavioral dispo-\nsitions normally indicative of personhood. Itmight therefore be possible to conceive of\nan artificial intellect that would be sapient, and perhaps would be a person, yet would\nnot be sentient or have conscious experiences of any kind. (Whether this is really pos-\nsible depends on the answers to some non-trivial metaphysical questions.) Should such']","According to the given context, artificial minds can differ from human minds in the following ways:

1. Constitution: Artificial intellects might be constituted quite differently from human intellects.
2. Substrate: Artificial minds can be made of different materials, such as silicon, rather than carbon.
3. Brain function: Artificial minds can use semi-conductors instead of neurotransmitters.
4. Cognitive architecture: Artificial minds can have cognitive architectures that are different from those of human minds.
5. Sentience: Artificial minds might not be sentient or have conscious experiences, even if they exhibit human-like behavior or possess the behavioral dispositions normally indicative of personhood.","Artificial minds may differ from human minds in their substrate, subjective time, reproduction speed, cognitive architecture, and possible lack or presence of sentience.",,,,
What ethical concerns arise from whole brain emulation?,"['relevant insofar as it makes a diﬀerence to sentience or functionality. But holding these\nthings constant, it makes no moral diﬀerence whether a being is made of silicon or car-\nbon, or whether its brain uses semi-conductors or neurotransmitters.\nAn additional principle that can be proposed is that the fact that AI systems are\nartificial—i.e., the product of deliberate design—is not fundamentally relevant to their\nmoral status. We could formulate this as follows:', '• The local, specific behavior of the AI may not be predictable apart from its safety,\neven if the programmers do everything right;\n• Verifying the safety of the system becomes a greater challenge because we must\nverify what the system is trying to do, rather than being able to verify the system’s\nsafe behavior in all operating contexts;\n• Ethical cognition itself must be taken as a subject matter of engineering.\n3. Machines with Moral Status', 'The Ethics of Artificial Intelligence\nSandberg, Anders. 1999. “The Physics of Information Processing Superobjects: Daily Life Among the\nJupiter Brains.” Journal of Evolution and Technology 5. http://www.jetpress.org/volume5/\nBrains2.pdf.\nVinge, Vernor. 1993. “The Coming Technological Singularity: How to Survive in the Post-Human Era.”\nIn Vision-21: Interdisciplinary Science and Engineering in the Era of Cyberspace,11–22. NASA Con-', 'Nick Bostrom, Eliezer Yudkowsky\ndesign is very, very safe.” This may seem like an unenviable position from the perspective\nof public relations, but it’s hard to see what other guarantee of ethical behavior would\nbe possible for a general intelligence operating on unforeseen problems, across domains,\nwith preferences over distant consequences. Inspecting the cognitive design might verify\nthat the mind was, indeed, searching for solutions that we would classify as ethical; but', 'duties to their artificial mind which they do not have to another artificial mind, even if\nthe minds in question are qualitatively similar and have the same moral status.\nIf the principles of non-discrimination with regard to substrate and ontogeny are\naccepted, then many questions about how we ought to treat artificial minds can be an-\nswered by applying the same moral principles that we use to determine our duties in\n8']","The given context does not explicitly mention ""whole brain emulation."" However, it discusses the ethics of artificial intelligence and moral status of AI systems. The context implies that ethical concerns arise from the creation and treatment of artificial minds, including:

1. Verifying the safety of the system, as its behavior may not be predictable.
2. Ensuring that the system's cognitive design aligns with ethical principles.
3. Determining duties and moral obligations towards artificial minds, similar to those towards human minds.

These concerns are relevant to the development and treatment of artificial intelligence, but the context does not specifically address ""whole brain emulation.""","Whole brain emulation raises ethical concerns about sentience, personal identity, copying minds, subjective time, and the moral status of uploaded minds.",,,,
